Year, Month, Day, Hour, Minute, Second, Millisecond, ros_time, state, pos.x, pos.y, pos.z
2023, 06, 02, 10, 41, 37, 777, 1.68567e+09, 0, 0.287254, 0.112281, 0.123165
2023, 06, 02, 10, 41, 37, 780, 1.68567e+09, 0, 0.288712, 0.111724, 0.123162
2023, 06, 02, 10, 41, 37, 803, 1.68567e+09, 0, 0.288712, 0.111724, 0.123162
2023, 06, 02, 10, 41, 37, 823, 1.68567e+09, 0, 0.288958, 0.11175, 0.123119
2023, 06, 02, 10, 41, 37, 840, 1.68567e+09, 0, 0.288968, 0.111753, 0.123107
2023, 06, 02, 10, 41, 37, 860, 1.68567e+09, 0, 0.288976, 0.111757, 0.123084
2023, 06, 02, 10, 41, 37, 882, 1.68567e+09, 0, 0.288982, 0.111763, 0.123062
2023, 06, 02, 10, 41, 37, 901, 1.68567e+09, 0, 0.28899, 0.111767, 0.123017
2023, 06, 02, 10, 41, 37, 921, 1.68567e+09, 0, 0.288518, 0.111218, 0.122983
2023, 06, 02, 10, 41, 37, 941, 1.68567e+09, 0, 0.288526, 0.111219, 0.122956
2023, 06, 02, 10, 41, 37, 961, 1.68567e+09, 0, 0.288534, 0.11122, 0.12294
2023, 06, 02, 10, 41, 37, 981, 1.68567e+09, 0, 0.288542, 0.11122, 0.122921
2023, 06, 02, 10, 41, 38, 000, 1.68567e+09, 0, 0.288549, 0.111223, 0.12292
2023, 06, 02, 10, 41, 38, 022, 1.68567e+09, 0, 0.288175, 0.111335, 0.122893
2023, 06, 02, 10, 41, 38, 041, 1.68567e+09, 0, 0.288188, 0.111339, 0.122872
2023, 06, 02, 10, 41, 38, 062, 1.68567e+09, 0, 0.288203, 0.111342, 0.122877
2023, 06, 02, 10, 41, 38, 081, 1.68567e+09, 0, 0.288219, 0.111345, 0.122845
2023, 06, 02, 10, 41, 38, 102, 1.68567e+09, 0, 0.288234, 0.111347, 0.122851
2023, 06, 02, 10, 41, 38, 121, 1.68567e+09, 0, 0.288514, 0.111655, 0.122835
