Year, Month, Day, Hour, Minute, Second, Millisecond, taskTime, state, pos.x, pos.y, pos.z, eulerAngle.x, eulerAngle.y, eulerAngle.z
2023, 06, 06, 12, 31, 41, 000, 1.19209e-06, 0, 7.32638, 0.400354, 1.0831, -0.00273654, -0.0297247, 0.0157309
2023, 06, 06, 12, 31, 41, 002, 0.00175905, 0, 7.32638, 0.400354, 1.0831, -0.00273654, -0.0297247, 0.0157309
2023, 06, 06, 12, 31, 41, 022, 0.0218434, 0, 7.32638, 0.400354, 1.0831, -0.00273654, -0.0297247, 0.0157309
2023, 06, 06, 12, 31, 41, 044, 0.0441475, 0, 7.33461, 0.377777, 1.09255, -0.00291748, -0.0295466, 0.0156337
2023, 06, 06, 12, 31, 41, 062, 0.0619342, 0, 7.33461, 0.377777, 1.1019, -0.00372079, -0.0289915, 0.0154668
2023, 06, 06, 12, 31, 41, 082, 0.0818496, 0, 7.33642, 0.371129, 1.11291, -0.003934, -0.0286966, 0.0156433
2023, 06, 06, 12, 31, 41, 103, 0.101879, 0, 7.33642, 0.371129, 1.12285, -0.00459999, -0.0286408, 0.0154058
2023, 06, 06, 12, 31, 41, 123, 0.122563, 0, 7.33932, 0.360607, 1.13357, -0.00503924, -0.0277751, 0.015269
2023, 06, 06, 12, 31, 41, 143, 0.141959, 0, 7.33932, 0.360607, 1.14176, -0.00554235, -0.0276492, 0.0155553
2023, 06, 06, 12, 31, 41, 163, 0.16187, 0, 7.34225, 0.353358, 1.14949, -0.005951, -0.0275203, 0.0154669
2023, 06, 06, 12, 31, 41, 186, 0.181887, 0, 7.34225, 0.353358, 1.1584, -0.00622591, -0.0274163, 0.0150458
2023, 06, 06, 12, 31, 41, 204, 0.201867, 0, 7.34225, 0.353358, 1.16646, -0.00692247, -0.0269787, 0.0151412
2023, 06, 06, 12, 31, 41, 223, 0.221938, 0, 7.34663, 0.338946, 1.17624, -0.00721183, -0.0272433, 0.0154581
2023, 06, 06, 12, 31, 41, 242, 0.241896, 0, 7.34663, 0.338946, 1.18258, -0.00737146, -0.0275977, 0.0149556
2023, 06, 06, 12, 31, 41, 263, 0.261879, 0, 7.35292, 0.319993, 1.18854, -0.00778951, -0.0270014, 0.0147867
2023, 06, 06, 12, 31, 41, 284, 0.281883, 0, 7.35292, 0.319993, 1.19601, -0.00776865, -0.0271657, 0.0153816
2023, 06, 06, 12, 31, 41, 303, 0.301897, 2, 7.35118, 0.318036, 1.20225, -0.00763809, -0.0267221, 0.0152377
2023, 06, 06, 12, 31, 41, 327, 0.321906, 2, 7.35391, 0.313044, 1.20805, -0.00718404, -0.0250039, 0.0147016
2023, 06, 06, 12, 31, 41, 346, 0.341878, 2, 7.35288, 0.313986, 1.21283, -0.00666756, -0.0238263, 0.0151846
2023, 06, 06, 12, 31, 41, 362, 0.361851, 2, 7.35288, 0.313986, 1.21744, -0.00598147, -0.0237466, 0.0150785
2023, 06, 06, 12, 31, 41, 384, 0.381952, 2, 7.35201, 0.313331, 1.22326, -0.00555004, -0.0231434, 0.014813
2023, 06, 06, 12, 31, 41, 402, 0.401864, 2, 7.35201, 0.313331, 1.22895, -0.00491632, -0.022319, 0.0154486
