Year, Month, Day, Hour, Minute, Second, Millisecond, taskTime, state, pos.x, pos.y, pos.z, eulerAngle.x, eulerAngle.y, eulerAngle.z, trackTime, desiredPoint.x, desiredPoint.y, desiredPoint.z
2023, 06, 06, 20, 36, 48, 594, 2.6226e-06, 3, 6.58585, -1.56374, 1.07831, 0.00248957, -0.0296692, 0.124779, 0.000599146, 6.76125, -1.33634, 1.50006
2023, 06, 06, 20, 36, 48, 605, 0.00207496, 3, 6.58585, -1.56374, 1.07831, 0.00248957, -0.0296692, 0.124779, 0.00610566, 6.76345, -1.33634, 1.50061
2023, 06, 06, 20, 36, 48, 617, 0.0221615, 3, 6.58397, -1.57987, 1.08868, 0.00236888, -0.029095, 0.124792, 0.0232162, 6.7703, -1.33634, 1.50232
2023, 06, 06, 20, 36, 48, 637, 0.0421524, 3, 6.58397, -1.57987, 1.08868, 0.00235815, -0.029041, 0.124873, 0.0431466, 6.77827, -1.33634, 1.50431
2023, 06, 06, 20, 36, 48, 657, 0.0621738, 3, 6.58397, -1.57987, 1.09807, 0.00221772, -0.0283255, 0.124541, 0.063158, 6.78627, -1.33634, 1.50632
2023, 06, 06, 20, 36, 48, 677, 0.0821562, 3, 6.58234, -1.59069, 1.10813, 0.00194258, -0.0277544, 0.124265, 0.0839877, 6.79461, -1.33634, 1.5084
2023, 06, 06, 20, 36, 48, 698, 0.102276, 3, 6.58234, -1.59069, 1.11923, 0.00136781, -0.0272496, 0.124257, 0.104456, 6.80279, -1.33634, 1.51045
2023, 06, 06, 20, 36, 48, 718, 0.122153, 3, 6.57987, -1.59707, 1.12767, 0.00120998, -0.0268447, 0.124262, 0.123933, 6.81058, -1.33634, 1.51239
2023, 06, 06, 20, 36, 48, 740, 0.142157, 3, 6.57879, -1.60238, 1.1361, 0.000769587, -0.0265222, 0.123944, 0.144591, 6.81885, -1.33634, 1.51446
2023, 06, 06, 20, 36, 48, 758, 0.162153, 3, 6.57814, -1.60666, 1.14366, 0.0002203, -0.0258732, 0.123848, 0.164246, 6.82671, -1.33634, 1.51642
2023, 06, 06, 20, 36, 48, 778, 0.182151, 3, 6.57814, -1.60666, 1.15353, -0.000290408, -0.0259949, 0.124075, 0.183133, 6.83426, -1.33634, 1.51831
2023, 06, 06, 20, 36, 48, 796, 0.202165, 3, 6.57676, -1.61104, 1.16306, -0.000362241, -0.0257664, 0.12373, 0.202715, 6.8421, -1.33634, 1.52027
2023, 06, 06, 20, 36, 48, 816, 0.222196, 3, 6.57676, -1.61104, 1.16937, -0.000795658, -0.0256312, 0.123451, 0.222863, 6.85016, -1.33634, 1.52229
2023, 06, 06, 20, 36, 48, 843, 0.242332, 3, 6.57411, -1.6223, 1.17465, -0.00107655, -0.0252179, 0.123744, 0.250119, 6.86106, -1.33634, 1.52501
2023, 06, 06, 20, 36, 48, 857, 0.262173, 3, 6.57411, -1.6223, 1.18691, -0.00127488, -0.0253693, 0.12339, 0.263063, 6.86624, -1.33634, 1.52631
2023, 06, 06, 20, 36, 48, 878, 0.282159, 3, 6.57226, -1.62707, 1.18691, -0.00134339, -0.0254265, 0.123395, 0.283556, 6.87443, -1.33634, 1.52836
2023, 06, 06, 20, 36, 48, 896, 0.302152, 3, 6.57194, -1.63051, 1.19639, -0.00179574, -0.024187, 0.123362, 0.302752, 6.88211, -1.33634, 1.53028
2023, 06, 06, 20, 36, 48, 918, 0.322336, 3, 6.57121, -1.63387, 1.20089, -0.00312002, -0.0209021, 0.123558, 0.32412, 6.89066, -1.33634, 1.53241
2023, 06, 06, 20, 36, 48, 936, 0.342158, 3, 6.57121, -1.63387, 1.20645, -0.00458565, -0.017374, 0.12336, 0.342891, 6.89817, -1.33634, 1.53429
2023, 06, 06, 20, 36, 48, 956, 0.362165, 3, 6.56983, -1.63879, 1.21051, -0.00601765, -0.0150429, 0.123543, 0.362678, 6.90608, -1.33634, 1.53627
2023, 06, 06, 20, 36, 48, 976, 0.382147, 3, 6.56983, -1.63879, 1.2168, -0.00722925, -0.0137048, 0.123573, 0.382737, 6.91411, -1.33634, 1.53827
2023, 06, 06, 20, 36, 48, 998, 0.402151, 3, 6.56945, -1.64713, 1.22655, -0.00769675, -0.0122185, 0.123341, 0.404975, 6.923, -1.33634, 1.5405
2023, 06, 06, 20, 36, 49, 019, 0.422159, 3, 6.56945, -1.64713, 1.22987, -0.00855908, -0.0110347, 0.123467, 0.42411, 6.93066, -1.33634, 1.54241
2023, 06, 06, 20, 36, 49, 036, 0.442173, 3, 6.56836, -1.65497, 1.23334, -0.00912184, -0.00938842, 0.12367, 0.442726, 6.9381, -1.33634, 1.54427
2023, 06, 06, 20, 36, 49, 057, 0.462162, 3, 6.56836, -1.65497, 1.23623, -0.0092219, -0.0080779, 0.123357, 0.462903, 6.94617, -1.33634, 1.54629
2023, 06, 06, 20, 36, 49, 076, 0.482178, 3, 6.56836, -1.65497, 1.24188, -0.0100275, -0.00704561, 0.123535, 0.482673, 6.95408, -1.33634, 1.54827
2023, 06, 06, 20, 36, 49, 096, 0.502184, 3, 6.56788, -1.66344, 1.24503, -0.0105982, -0.00635555, 0.123766, 0.503042, 6.96223, -1.33634, 1.5503
2023, 06, 06, 20, 36, 49, 116, 0.522157, 3, 6.56788, -1.66344, 1.24756, -0.01043, -0.0061123, 0.123351, 0.522747, 6.97011, -1.33634, 1.55227
2023, 06, 06, 20, 36, 49, 136, 0.542159, 3, 6.56699, -1.67668, 1.24906, -0.0113494, -0.00520323, 0.123615, 0.542714, 6.9781, -1.33634, 1.55427
2023, 06, 06, 20, 36, 49, 156, 0.56215, 3, 6.56699, -1.67668, 1.25122, -0.0116168, -0.00509162, 0.123869, 0.562875, 6.98616, -1.33634, 1.55629
2023, 06, 06, 20, 36, 49, 181, 0.582228, 3, 6.56603, -1.68431, 1.2567, -0.0107925, -0.00456958, 0.123446, 0.587971, 6.9962, -1.33634, 1.5588
2023, 06, 06, 20, 36, 49, 197, 0.602156, 3, 6.56612, -1.6888, 1.25899, -0.011257, -0.00440435, 0.123825, 0.603315, 7.00234, -1.33634, 1.56033
2023, 06, 06, 20, 36, 49, 217, 0.622155, 3, 6.56583, -1.69469, 1.26104, -0.0116188, -0.00430392, 0.123891, 0.623619, 7.01046, -1.33634, 1.56236
2023, 06, 06, 20, 36, 49, 236, 0.642154, 3, 6.56583, -1.69469, 1.26307, -0.0112701, -0.00420427, 0.123566, 0.642823, 7.01814, -1.33634, 1.56428
2023, 06, 06, 20, 36, 49, 259, 0.662725, 3, 6.5668, -1.70391, 1.26496, -0.0114447, -0.00426518, 0.124025, 0.66447, 7.0268, -1.33634, 1.56645
2023, 06, 06, 20, 36, 49, 276, 0.682171, 3, 6.5668, -1.70391, 1.26945, -0.0117729, -0.004307, 0.123911, 0.682828, 7.03414, -1.33634, 1.56828
2023, 06, 06, 20, 36, 49, 297, 0.702148, 3, 6.5666, -1.7137, 1.27134, -0.0113622, -0.00451187, 0.123641, 0.7032, 7.04229, -1.33634, 1.57032
2023, 06, 06, 20, 36, 49, 317, 0.722148, 3, 6.5666, -1.7137, 1.27304, -0.0111122, -0.00464016, 0.123996, 0.723805, 7.05053, -1.33634, 1.57238
2023, 06, 06, 20, 36, 49, 339, 0.742147, 3, 6.56704, -1.71759, 1.27373, -0.010989, -0.00507781, 0.123913, 0.745224, 7.0591, -1.33634, 1.57452
2023, 06, 06, 20, 36, 49, 358, 0.762167, 3, 6.56704, -1.71759, 1.27533, -0.0107377, -0.00496741, 0.123765, 0.763316, 7.06634, -1.33634, 1.57633
2023, 06, 06, 20, 36, 49, 381, 0.782149, 3, 6.56704, -1.71759, 1.27916, -0.0102815, -0.00543432, 0.124173, 0.785804, 7.07533, -1.33634, 1.57858
2023, 06, 06, 20, 36, 49, 399, 0.802167, 3, 6.56589, -1.72405, 1.28065, -0.0100447, -0.00610107, 0.123923, 0.804845, 7.08295, -1.33634, 1.58048
2023, 06, 06, 20, 36, 49, 416, 0.822151, 3, 6.56589, -1.72405, 1.2821, -0.0100197, -0.00585673, 0.123709, 0.822574, 7.09004, -1.33634, 1.58226
2023, 06, 06, 20, 36, 49, 436, 0.842267, 3, 6.56563, -1.73035, 1.28244, -0.00961351, -0.00655251, 0.124264, 0.842854, 7.09815, -1.33634, 1.58429
2023, 06, 06, 20, 36, 49, 456, 0.862168, 3, 6.56663, -1.73394, 1.28383, -0.00907486, -0.0071015, 0.123936, 0.863011, 7.10622, -1.33634, 1.5863
2023, 06, 06, 20, 36, 49, 477, 0.88216, 3, 6.56747, -1.73873, 1.28867, -0.00892889, -0.00694635, 0.123931, 0.882789, 7.11413, -1.33634, 1.58828
2023, 06, 06, 20, 36, 49, 496, 0.902204, 3, 6.56747, -1.73873, 1.28809, -0.00863509, -0.0078126, 0.124041, 0.902846, 7.12215, -1.33634, 1.59028
2023, 06, 06, 20, 36, 49, 516, 0.922161, 3, 6.56758, -1.74586, 1.28919, -0.00819519, -0.00817634, 0.123726, 0.922863, 7.13016, -1.33634, 1.59229
2023, 06, 06, 20, 36, 49, 536, 0.942167, 3, 6.56758, -1.74586, 1.29529, -0.00763134, -0.00818598, 0.12414, 0.942841, 7.13815, -1.33634, 1.59428
2023, 06, 06, 20, 36, 49, 556, 0.962176, 3, 6.56777, -1.74915, 1.29634, -0.00726162, -0.00915348, 0.124012, 0.962692, 7.14609, -1.33634, 1.59627
2023, 06, 06, 20, 36, 49, 577, 0.98215, 3, 6.56777, -1.74915, 1.29992, -0.00729279, -0.00951441, 0.123802, 0.983763, 7.15452, -1.33634, 1.59838
2023, 06, 06, 20, 36, 49, 599, 1.00215, 3, 6.56968, -1.76391, 1.30092, -0.00706494, -0.00968629, 0.124098, 1.00501, 7.16302, -1.33634, 1.6005
2023, 06, 06, 20, 36, 49, 616, 1.02215, 3, 6.56968, -1.76391, 1.30191, -0.00624759, -0.0105742, 0.12385, 1.02275, 7.17011, -1.33634, 1.60228
2023, 06, 06, 20, 36, 49, 636, 1.0422, 3, 6.56968, -1.76391, 1.30151, -0.00594042, -0.0106907, 0.123968, 1.04277, 7.17812, -1.33634, 1.60428
2023, 06, 06, 20, 36, 49, 657, 1.06215, 3, 6.57061, -1.76182, 1.30255, -0.00577345, -0.0109489, 0.124186, 1.06275, 7.18611, -1.33634, 1.60627
2023, 06, 06, 20, 36, 49, 676, 1.08216, 3, 6.57061, -1.76182, 1.30526, -0.00524487, -0.0114376, 0.123896, 1.0832, 7.19429, -1.33634, 1.60832
2023, 06, 06, 20, 36, 49, 698, 1.10233, 3, 6.57316, -1.76762, 1.30512, -0.00460673, -0.0115873, 0.124131, 1.10457, 7.20284, -1.33634, 1.61046
2023, 06, 06, 20, 36, 49, 717, 1.12216, 3, 6.57466, -1.78062, 1.30621, -0.00472064, -0.0122602, 0.124084, 1.12369, 7.21049, -1.33634, 1.61237
2023, 06, 06, 20, 36, 49, 737, 1.14216, 3, 6.57583, -1.78405, 1.30584, -0.00454899, -0.0119568, 0.124045, 1.14328, 7.21832, -1.33634, 1.61433
2023, 06, 06, 20, 36, 49, 760, 1.16215, 3, 6.57583, -1.78405, 1.30694, -0.00399095, -0.0121625, 0.124091, 1.16416, 7.22667, -1.33634, 1.61642
2023, 06, 06, 20, 36, 49, 776, 1.18216, 3, 6.5773, -1.78912, 1.30987, -0.00351531, -0.0134637, 0.123756, 1.18265, 7.23407, -1.33634, 1.61827
